id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
111312445,13.04.22 16:21,13.04.22,2022-04-13 14:21:20 UTC,Paris,5505943,ola_abdelrahman,2022-04-13 15:18:57 UTC,2022-04-13 15:24:57 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111312445,https://static.inaturalist.org/photos/187896844/medium.jpeg,,,,0,0,TRUE,2,Switzerland,46.77620194,7.006559351,,"Fribourg, Switzerland",46.79332222,7.15495,26967,,obscured,TRUE,,,saintpaulia ionantha,Streptocarpus ionanthus,African Violet,Plantae,927983
111315294,2022/04/13 4:58 PM CEST,13.04.22,2022-04-13 14:58:00 UTC,Paris,5508735,aatmika_barve,2022-04-13 15:53:13 UTC,2022-06-01 14:09:33 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111315294,https://inaturalist-open-data.s3.amazonaws.com/photos/187901638/medium.jpg,,,,0,0,TRUE,,"Fribourg, Switzerland",46.79326546,7.155822516,15,,,,15,,,FALSE,,,Kohleria warszewiczii,Kohleria warszewiczii,,Plantae,502168
111315673,13.04.22 16:22,13.04.22,2022-04-13 14:22:53 UTC,Zurich,5505943,ola_abdelrahman,2022-04-13 15:55:58 UTC,2022-04-14 15:25:48 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111315673,https://inaturalist-open-data.s3.amazonaws.com/photos/187902849/medium.jpeg,,,,0,0,TRUE,2,"Fribourg, Switzerland",46.79325278,7.155191667,,,,,,,,FALSE,gps,gps,Saintpaulia grotei,Saintpaulia grotei,,Plantae,133946
111315856,13.04.22 16:25,13.04.22,2022-04-13 14:25:32 UTC,Zurich,5505943,ola_abdelrahman,2022-04-13 15:57:33 UTC,2022-04-13 15:57:53 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111315856,https://inaturalist-open-data.s3.amazonaws.com/photos/187903129/medium.jpeg,,,,0,0,TRUE,2,"Fribourg, Switzerland",46.79333333,7.154925,,,,,,,,FALSE,gps,gps,Streptocarpus sp.,Streptocarpus,African Primrose,Plantae,343506
111316014,2022/04/13 4:56 PM CEST,13.04.22,2022-04-13 14:56:00 UTC,Paris,5508735,aatmika_barve,2022-04-13 15:58:48 UTC,2022-06-01 14:08:14 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111316014,https://inaturalist-open-data.s3.amazonaws.com/photos/187902962/medium.jpg,,,,1,0,TRUE,,"Fribourg, Switzerland",46.79326179,7.155822516,8,,,,8,,,FALSE,,,Sinningia leucotricha,Sinningia leucotricha,,Plantae,568475
111316105,13.04.22 16:27,13.04.22,2022-04-13 14:27:31 UTC,Zurich,5505943,ola_abdelrahman,2022-04-13 15:59:31 UTC,2022-04-13 16:00:00 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111316105,https://inaturalist-open-data.s3.amazonaws.com/photos/187903522/medium.jpeg,,,,0,0,TRUE,2,"Fribourg, Switzerland",46.79325556,7.155177778,,,,,,,,FALSE,gps,gps,Kohleria hirsuta,Kohleria hirsuta,,Plantae,336057
111316329,13.04.22 16:29,13.04.22,2022-04-13 14:29:53 UTC,Paris,5505943,ola_abdelrahman,2022-04-13 16:01:41 UTC,2022-04-13 16:04:53 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111316329,https://inaturalist-open-data.s3.amazonaws.com/photos/187903916/medium.jpeg,,,,0,0,TRUE,2,"Fribourg, Switzerland",46.79332222,7.154958333,,,,,,,,FALSE,,,Streptocarpus sp.,Streptocarpus,African Primrose,Plantae,343506
111316572,13.04.22 16:33,13.04.22,2022-04-13 14:33:46 UTC,Zurich,5505943,ola_abdelrahman,2022-04-13 16:03:54 UTC,2022-04-13 16:04:23 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111316572,https://inaturalist-open-data.s3.amazonaws.com/photos/187904273/medium.jpeg,,,,0,0,TRUE,2,"Fribourg, Switzerland",46.793325,7.154958333,,,,,,,open,FALSE,gps,gps,Streptocarpus caulescens,Streptocarpus caulescens,,Plantae,443983
111316700,2022/04/13 4:50 PM CEST,13.04.22,2022-04-13 14:50:00 UTC,Paris,5508735,aatmika_barve,2022-04-13 16:04:39 UTC,2022-06-01 14:05:30 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111316700,https://inaturalist-open-data.s3.amazonaws.com/photos/187904226/medium.jpg,,,,0,0,TRUE,,"Fribourg, Switzerland",46.79327281,7.155811787,31,,,,31,,,FALSE,,,Aeschynanthus radicans,Aeschynanthus radicans,,Plantae,430622
111316851,2022/04/13 4:48 PM CEST,13.04.22,2022-04-13 14:48:00 UTC,Paris,5508735,aatmika_barve,2022-04-13 16:06:08 UTC,2022-06-01 14:04:16 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/111316851,https://inaturalist-open-data.s3.amazonaws.com/photos/187904490/medium.jpg,,,,0,0,TRUE,,"Fribourg, Switzerland",46.79327281,7.155811787,31,,,,31,,,FALSE,,,Aeschynanthus fulgens,Aeschynanthus fulgens,,Plantae,994460
