row ID,row m/z,row retention time,20220504_groupB_DBGI_01_08_01.mzML Peak area,20220504_groupB_DBGI_01_08_02.mzML Peak area,20220504_groupB_DBGI_01_08_03.mzML Peak area,20220504_groupB_DBGI_01_08_04.mzML Peak area,20220504_groupB_DBGI_01_08_05.mzML Peak area,20220504_groupB_DBGI_01_08_06.mzML Peak area,20220504_groupB_DBGI_01_08_07.mzML Peak area,20220504_groupB_DBGI_01_08_08.mzML Peak area,20220504_groupB_DBGI_01_08_09.mzML Peak area,20220504_groupB_DBGI_01_08_10.mzML Peak area,20220504_groupB_DBGI_01_08_11.mzML Peak area,20220504_groupB_DBGI_01_08_12.mzML Peak area,20220504_groupB_DBGI_01_08_13.mzML Peak area,20220504_groupB_DBGI_01_08_14.mzML Peak area,20220504_groupB_DBGI_01_08_15.mzML Peak area,20220504_groupB_DBGI_01_08_B.mzML Peak area,
2,118.08651453653971,0.42284177933333333,1.9491987751550588E8,9.265105057934269E8,4.1858259913278913E8,9.826999857302878E8,4.048173502820281E8,5.579950680162182E8,1.5245296783203385E9,6.659709589808006E8,4.2343743581839055E8,1.128034361625035E8,7.840845326353763E7,1.868889787730399E8,6.323486302111802E8,9.021716421747605E8,1.3877083045497098E9,0,
3,156.0421142578125,0.37994715733333334,6.892935163180634E7,1.3503883962965444E8,2.1685331026250586E7,1.6494513390590265E8,2.1515188421328896E8,7.497561584950121E7,2.377760284059593E8,1.1795147326133607E8,8.433111782701956E7,7.501477803062333E7,4.267916830112597E7,6.523712556224202E7,8.073175293174434E7,1.4900401374358377E8,1.5692912495261732E8,0,
4,177.0546620686849,2.4036006000000003,4.1606590059389815E7,5.9471933709642306E7,7881989.092219672,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,439.3572285970052,3.1957862,1.1980756413216013E7,6.5519147315416865E7,0,0,0,1.4450421455236023E7,0,0,0,0,0,0,0,0,0,0,
8,469.3315963745117,2.90274035,1.0566988957803082E7,9078597.590965241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,455.3521016438802,2.9707036,9211454.708671141,2503135.651476837,0,0,0,0,0,0,8048245.310981901,0,0,0,0,0,0,0,
10,568.4275309244791,6.30133115,1.1919432528422672E7,0,1.975384071992512E7,0,0,1.3384569428402627E7,0,0,1.2806499076171344E7,0,8499299.451539995,1.0019649410097642E7,0,0,0,0,
11,792.5623286320613,6.9756413923076925,1.0879801473171346E7,0,1.3414622082963992E7,1.3596730401116192E7,0,9881685.280000811,1.6949364173944186E7,1.5026016534421716E7,1.6209532697172828E7,1.5381158447409717E7,1.2673767910237756E7,1.6795603441600546E7,1.1321294551645417E7,1.804164665838962E7,1.1846818781519083E7,0,
12,195.06527201334634,2.3964893000000003,1.3948308737928936E7,2.0469952327323575E7,0,0,0,0,0,0,0,0,0,0,7427304.880233978,0,0,0,
13,166.08633839000356,0.747100259090909,3.909521381650817E7,0,0,1.7956618153206844E7,4.86390303574667E7,7.143685251831408E7,2.709536206995727E7,1.8950328341886394E7,1.3205795439862798E8,2.5128836573976614E7,0,0,1.3877127800593582E8,1.49213299940826E8,7.538365710598981E7,0,
14,439.3572998046875,3.51967335,7021926.244491009,3.786150259311559E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,110.00905634562174,0.34291724266666673,2.3744290939340662E7,7665978.202383835,1.3967372406225282E8,4.660587893582773E7,3635799.6717001395,1.97537280325214E7,2.6141215136587E7,6.403127574305273E7,3.1891346816147726E7,1.9738364161934894E7,5.095038685572452E7,3.449431488495416E7,3.832900514426069E7,4.1528886345462434E7,5.072277852926596E7,0,
18,386.14471435546875,2.4905806,5916348.450353052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,469.3315124511719,2.2932541000000004,4021712.3345857505,5.528635069114414E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,439.3572769165039,4.1262659,5347789.9473151425,0,0,0,0,2540341.6010434963,0,0,0,0,0,0,0,0,0,0,
21,205.09728295462472,1.1274547571428573,1.631856254288502E7,7418097.304561876,0,1.174173903617437E7,1.3489448549501523E7,5700715.157454384,2298928.730917217,1061581.1055970313,3.542834039008393E7,6458058.642444737,1299752.2524136887,506193.33147281624,2.544416374848578E7,4.4776595559835196E7,2.4658237156331208E7,0,
22,363.1802673339844,3.8462465000000003,5846072.221070794,3250721.910063072,2244799.0742227463,1405002.917940547,0,0,0,0,0,0,0,0,0,0,0,1.2720557139074292E7,
23,453.3364486694336,3.3284451500000003,6933636.225853372,1850048.471727923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,188.07069396972656,1.1275339615384616,1.4145516770863587E7,6335267.596468408,0,9898056.848267622,1.0976068699484337E7,4706625.7320089135,1961026.6047910298,924110.2001770315,3.0683469444388278E7,5418287.979953147,1061690.8854373118,0,2.1915864377206754E7,3.968455897162425E7,2.1440485610014558E7,0,
25,140.06812540690103,0.38556649083333333,8682180.475971788,4.727612035975033E7,1.7415939323931206E7,8745052.851092344,8990679.640880136,2.4154994453955077E7,4.054199228978354E7,1.4939952342278393E7,2534790.00727605,0,0,0,4.243150122895094E7,8232477.244844174,3.2633031822098516E7,0,
26,455.3522033691406,2.3466428,3077693.464683275,2.1045660746350423E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,329.17478434244794,4.4416701666666665,4715520.8276410615,2530793.6301008263,0,0,0,0,0,0,0,0,0,0,0,0,0,8467909.56798272,
30,600.4173126220703,5.4169778,4787953.414085759,0,0,0,0,0,0,0,4194171.572280039,0,0,0,0,0,0,0,
31,151.0352773030599,0.3423954613333333,1.4517604869091572E7,3903126.451780801,8.138212584109701E7,2.6597988964970853E7,1599174.4084484624,1.1229563753886674E7,1.5998275915272778E7,3.695941805101622E7,1.829060434204388E7,1.1527133195185022E7,3.055827142234349E7,2.061233973451899E7,2.150177687649421E7,2.361670216887465E7,2.5989227151877657E7,0,
32,954.6152883676382,6.686368792307691,5438781.97265553,0,9102180.4491433,1.3383973079014437E7,5844894.242002142,4958751.006142218,1.1299126066861944E7,9010884.276584147,8701580.68167093,7181775.017923064,5243795.412522523,0,9125471.644686608,1.3076518097358223E7,1.1601045714390686E7,0,
33,219.02654911921576,0.3914982561538461,1.5455176815812247E7,6.166584781313606E7,3492025.7293365747,6.552386443150958E7,1.0644176730194569E7,3434769.65133362,6533050.824769332,1.4177809679489747E7,1.3099066942141693E7,7397940.806097555,0,0,2.6730511836044226E7,2.709734456036658E7,5.703882333994129E7,0,
34,133.06082725524902,0.4347973033333334,2.310404027388518E7,1.841449040974087E7,0,4.6177851895808525E7,9442727.125111692,3.270372132193183E7,1.126805134379414E7,9378274.619896764,6.3937364086661674E7,2.338833824017055E7,0,0,1.452886034776625E8,1.0400827302237014E8,2.4731225231449034E7,0,
35,132.10202407836914,0.5417035025,1.678284061537528E7,3572011.980359739,0,9093836.546449067,2780634.013724821,902712.3210331583,7701472.246113321,1.5816087766065596E7,8.23516119672156E7,6043356.498595996,0,0,2.5877868024987943E7,1.388341933988439E8,8.827913680592428E7,0,
